Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=1, penalty=None, solver=newton-cg --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=10, penalty=l1, solver=liblinear --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.11segundos

C=10, penalty=l1, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.16segundos

C=10, penalty=l2, solver=lbfgs --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=10, penalty=l2, solver=liblinear --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.11segundos

C=10, penalty=l2, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=10, penalty=l2, solver=newton-cg --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=10, penalty=elasticnet, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.13segundos

C=10, penalty=None, solver=lbfgs --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos

C=10, penalty=None, solver=saga --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.13segundos

C=10, penalty=None, solver=newton-cg --> {'cohen_kappa': 0.6626389676789641, 'accuracy': 0.8317073170731707, 'precision': 0.8347321832791763, 'recall': 0.8317073170731707, 'f1': 0.8313863090852951, 'roc_auc': 0.8314072495813054}, tiempo_total=0.12segundos
